route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,bikes_allowed
"6-115-P-j19-1","T0","9.T0.6-115-P-j19-1.8.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","10.T0.6-115-P-j19-1.8.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","11.T0.6-115-P-j19-1.8.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","1.T0.6-115-P-j19-1.1.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","2.T0.6-115-P-j19-1.2.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","20.T0.6-115-P-j19-1.2.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","21.T0.6-115-P-j19-1.2.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","22.T0.6-115-P-j19-1.2.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","23.T0.6-115-P-j19-1.2.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","24.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","25.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","26.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","27.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","28.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","29.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","30.T0.6-115-P-j19-1.39.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","12.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","13.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","14.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","15.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","16.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","17.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","18.T0.6-115-P-j19-1.40.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","215.T0.6-115-P-j19-1.41.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","216.T0.6-115-P-j19-1.41.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","217.T0.6-115-P-j19-1.41.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","200.T0.6-115-P-j19-1.9.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","280.T0.6-115-P-j19-1.24.H","115 Etzenrot Esternaystr. ü. Reichenbach","","0","","2"
"6-115-P-j19-1","T0","281.T0.6-115-P-j19-1.24.H","115 Etzenrot Esternaystr. ü. Reichenbach","","0","","2"
"6-115-P-j19-1","T0","251.T0.6-115-P-j19-1.22.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-118-P-j19-1","T0","155.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","157.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","158.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","159.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","169.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","173.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","195.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","199.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","200.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","202.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","218.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","219.T0.6-118-P-j19-1.4.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-118-P-j19-1","T0","3.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","147.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","156.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","161.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","164.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","176.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","206.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","207.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","212.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","213.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","216.T0.6-118-P-j19-1.3.R",""Zielnummer ist Frei"","","1","","2"
"6-118-P-j19-1","T0","220.T0.6-118-P-j19-1.3.R","118 Grünwettersbach ü Mutschelbach Stupferich","","1","","2"
"6-118-P-j19-1","T0","1.T0.6-118-P-j19-1.14.H","118 Langensteinbach Bf ü. Palmbach Stupferich Mutschelbach","","0","","2"
"6-151-P-j19-1","T0","1090.T0.6-151-P-j19-1.1.H","151 Wöschbach","","0","","2"
"6-151-P-j19-1","T0","520.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","521.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","522.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","523.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","524.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","525.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","528.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","529.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","530.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","531.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","532.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","533.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","534.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","535.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
"6-151-P-j19-1","T0","536.T0.6-151-P-j19-1.3.R","151 Berghausen","","1","","2"
